{'item_0': [2, 71], 'item_1': [71], 'item_2': [182403, 80], 'time_cost': '2.013603448867798'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: torch::autograd...         0.38%      11.000us         5.80%     167.000us     167.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      14.000us         5.41%     156.000us     156.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::_indices         0.17%       5.000us         0.17%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.70%      49.000us         4.69%     135.000us     135.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.50 Kb      -1.50 Kb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.881ms
Self CUDA time total: 10.000us

{'item_0': [2, 7], 'item_1': [7, 163206], 'item_2': [], 'time_cost': '0.003160238265991211'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.22%      36.000us        72.48%       2.147ms     429.400us      36.000us        81.82%      36.000us       7.200us           0 b           0 b           0 b           0 b             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us        75.00%      33.000us      16.500us           0 b           0 b           0 b           0 b             2  
                                              aten::min         2.87%      85.000us         4.05%     120.000us     120.000us       4.000us         9.09%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         9.09%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.50%      74.000us         3.31%      98.000us      98.000us       3.000us         6.82%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         6.82%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         4.55%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.27%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         1.05%      31.000us         1.28%      38.000us      38.000us       1.000us         2.27%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.27%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.42%      42.000us        83.42%       2.471ms     411.833us       0.000us         0.00%      36.000us       6.000us          32 b           0 b       8.72 Mb           0 b             6  
                                         aten::_to_copy         3.78%     112.000us        82.01%       2.429ms     485.800us       0.000us         0.00%      36.000us       7.200us          32 b           0 b       8.72 Mb           0 b             5  
                                    aten::empty_strided         5.74%     170.000us         5.74%     170.000us      34.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       8.72 Mb       8.72 Mb             5  
                                       cudaLaunchKernel        67.86%       2.010ms        67.86%       2.010ms     502.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                aten::sparse_coo_tensor         2.97%      88.000us        19.55%     579.000us     579.000us       0.000us         0.00%      10.000us      10.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.88%      26.000us         0.88%      26.000us       2.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.98%      29.000us         0.98%      29.000us       4.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         4.09%     121.000us         4.09%     121.000us      30.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.59%      47.000us         1.86%      55.000us      55.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.44%      13.000us         6.41%     190.000us     190.000us       0.000us         0.00%      33.000us      33.000us           0 b           0 b       8.72 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.71%      21.000us         5.98%     177.000us     177.000us       0.000us         0.00%      33.000us      33.000us           0 b           0 b       8.72 Mb           0 b             1  
                                         aten::_indices         0.24%       7.000us         0.24%       7.000us       1.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.05%      31.000us         5.00%     148.000us     148.000us       0.000us         0.00%      33.000us      33.000us           0 b           0 b       8.72 Mb           0 b             1  
                                        aten::dense_dim         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.72 Mb      -8.72 Mb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.962ms
Self CUDA time total: 44.000us

{'item_0': [2, 3072], 'item_1': [3072], 'item_2': [768, 768], 'time_cost': '0.0029883384704589844'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.30%      37.000us        74.34%       2.118ms     423.600us       7.000us        38.89%       7.000us       1.400us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.91%      83.000us         4.14%     118.000us     118.000us       6.000us        33.33%       6.000us       6.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        33.33%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.67%      76.000us         3.51%     100.000us     100.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        16.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.11%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.11%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.26%      36.000us        84.59%       2.410ms     401.667us       0.000us         0.00%       7.000us       1.167us          32 b           0 b     120.00 Kb           0 b             6  
                                         aten::_to_copy         3.37%      96.000us        83.33%       2.374ms     474.800us       0.000us         0.00%       7.000us       1.400us          32 b           0 b     120.00 Kb           0 b             5  
                                    aten::empty_strided         5.62%     160.000us         5.62%     160.000us      32.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b     120.00 Kb     120.00 Kb             5  
                                       cudaLaunchKernel        69.88%       1.991ms        69.88%       1.991ms     663.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.70%      77.000us        18.43%     525.000us     525.000us       0.000us         0.00%      13.000us      13.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.88%      25.000us         0.88%      25.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.98%      28.000us         0.98%      28.000us       4.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.58%     102.000us         3.58%     102.000us      25.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.65%      47.000us         1.90%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.28%       8.000us         5.30%     151.000us     151.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.42%      12.000us         5.02%     143.000us     143.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                         aten::_indices         0.11%       3.000us         0.11%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.11%       3.000us         0.11%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.76%      50.000us         4.42%     126.000us     126.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -120.00 Kb    -120.00 Kb             3  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.849ms
Self CUDA time total: 18.000us

{'item_0': [2, 42], 'item_1': [42], 'item_2': [163206, 80], 'time_cost': '0.003085613250732422'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.36%      40.000us        73.16%       2.145ms     429.000us       5.000us        45.45%       5.000us       1.000us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.90%      85.000us         4.06%     119.000us     119.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.66%      78.000us         3.44%     101.000us     101.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        27.27%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        18.18%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        18.18%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         9.09%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.43%      42.000us        83.46%       2.447ms     407.833us       0.000us         0.00%       5.000us       0.833us          32 b           0 b       2.50 Kb           0 b             6  
                                         aten::_to_copy         3.44%     101.000us        82.03%       2.405ms     481.000us       0.000us         0.00%       5.000us       1.000us          32 b           0 b       2.50 Kb           0 b             5  
                                    aten::empty_strided         5.42%     159.000us         5.42%     159.000us      31.800us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       2.50 Kb       2.50 Kb             5  
                                       cudaLaunchKernel        67.84%       1.989ms        67.84%       1.989ms     663.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.59%      76.000us        18.49%     542.000us     542.000us       0.000us         0.00%       8.000us       8.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         1.02%      30.000us         1.02%      30.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.95%      28.000us         0.95%      28.000us       4.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         4.40%     129.000us         4.40%     129.000us      32.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.60%      47.000us         1.84%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.44%      13.000us         7.61%     223.000us     223.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.65%      19.000us         7.16%     210.000us     210.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                                         aten::_indices         0.20%       6.000us         0.20%       6.000us       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         2.46%      72.000us         6.24%     183.000us     183.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.50 Kb      -2.50 Kb             3  
                                  cudaDeviceSynchronize         0.24%       7.000us         0.24%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.932ms
Self CUDA time total: 11.000us

{'item_0': [2, 3072], 'item_1': [3072], 'item_2': [3072, 768], 'time_cost': '0.003317594528198242'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.15%      36.000us        71.95%       2.247ms     449.400us       7.000us        41.18%       7.000us       1.400us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.69%      84.000us         3.78%     118.000us     118.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.50%      78.000us         3.23%     101.000us     101.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        17.65%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.76%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.76%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.38%      43.000us        85.27%       2.663ms     443.833us       0.000us         0.00%       7.000us       1.167us          32 b           0 b     120.00 Kb           0 b             6  
                                         aten::_to_copy         3.01%      94.000us        83.89%       2.620ms     524.000us       0.000us         0.00%       7.000us       1.400us          32 b           0 b     120.00 Kb           0 b             5  
                                    aten::empty_strided         8.93%     279.000us         8.93%     279.000us      55.800us       0.000us         0.00%       0.000us       0.000us          32 b          32 b     120.00 Kb     120.00 Kb             5  
                                       cudaLaunchKernel        66.44%       2.075ms        66.44%       2.075ms     691.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.43%      76.000us        18.03%     563.000us     563.000us       0.000us         0.00%      12.000us      12.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.80%      25.000us         0.80%      25.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.90%      28.000us         0.90%      28.000us       4.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         4.74%     148.000us         4.74%     148.000us      37.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.16%       5.000us         0.16%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.50%      47.000us         1.73%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.38%      12.000us         5.99%     187.000us     187.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.51%      16.000us         5.60%     175.000us     175.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                         aten::_indices         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.99%      62.000us         4.90%     153.000us     153.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -120.00 Kb    -120.00 Kb             3  
                                  cudaDeviceSynchronize         0.16%       5.000us         0.16%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.123ms
Self CUDA time total: 17.000us

{'item_0': [2, 5], 'item_1': [5, 182403], 'item_2': [], 'time_cost': '0.003087282180786133'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.14%      33.000us        73.07%       2.116ms     423.200us      30.000us        78.95%      30.000us       6.000us           0 b           0 b           0 b           0 b             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.000us        71.05%      27.000us      13.500us           0 b           0 b           0 b           0 b             2  
                                              aten::min         2.80%      81.000us         3.90%     113.000us     113.000us       4.000us        10.53%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        10.53%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.59%      75.000us         3.35%      97.000us      97.000us       3.000us         7.89%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         7.89%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         5.26%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.63%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         1.04%      30.000us         1.28%      37.000us      37.000us       1.000us         2.63%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.63%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.38%      40.000us        83.84%       2.428ms     404.667us       0.000us         0.00%      30.000us       5.000us          32 b           0 b       6.96 Mb           0 b             6  
                                         aten::_to_copy         3.80%     110.000us        82.46%       2.388ms     477.600us       0.000us         0.00%      30.000us       6.000us          32 b           0 b       6.96 Mb           0 b             5  
                                    aten::empty_strided         5.59%     162.000us         5.59%     162.000us      32.400us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       6.96 Mb       6.96 Mb             5  
                                       cudaLaunchKernel        68.72%       1.990ms        68.72%       1.990ms     497.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
