{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0463435649871826'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         4.86%     142.000us         4.86%     142.000us      28.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     291.50 Kb     291.50 Kb             5  
                                       cudaLaunchKernel        69.99%       2.043ms        69.99%       2.043ms     227.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.45%      13.000us         0.58%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.48%      14.000us         0.48%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.79%      23.000us         4.93%     144.000us      72.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         1.54%      45.000us         4.15%     121.000us      60.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         0.96%      28.000us         1.47%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.38%      11.000us         0.41%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.20%      35.000us         4.90%     143.000us      71.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.63%     106.000us         3.63%     106.000us      35.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.24%       7.000us         0.24%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Mb      13.50 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.21%       6.000us         1.47%      43.000us      43.000us       0.000us         0.00%      39.000us      39.000us           0 b           0 b      13.50 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.24%       7.000us         1.27%      37.000us      37.000us       0.000us         0.00%      39.000us      39.000us           0 b           0 b      13.50 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.45%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Mb           0 b             1  
                                    aten::empty_strided         0.34%      10.000us         0.34%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.50 Mb      13.50 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -27.00 Mb     -27.00 Mb             2  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.919ms
Self CUDA time total: 81.000us

{'item_0': [1, 1, 2, 12, 14], 'item_1': 9, 'item_2': 1, 'time_cost': '0.0028448104858398438'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.20%      33.000us         1.78%      49.000us      49.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b      24.00 Kb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.82%      50.000us         2.65%      73.000us      73.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
                              aten::_local_scalar_dense         0.47%      13.000us         4.25%     117.000us      39.000us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                            aten::fill_         0.69%      19.000us        72.70%       2.000ms       1.000ms       2.000us        12.50%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        12.50%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.02%     193.000us       113.41%       3.120ms       1.560ms       1.000us         6.25%      24.000us      12.000us           0 b           0 b      24.50 Kb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         0.91%      25.000us         1.20%      33.000us      33.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.18%       5.000us         0.62%      17.000us      17.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.73%     130.000us         4.73%     130.000us      43.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        73.32%       2.017ms        73.32%       2.017ms     288.143us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.47%      13.000us         0.65%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.55%      15.000us         0.55%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.22%       6.000us         0.22%       6.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.40%      11.000us         0.44%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.13%      31.000us         5.38%     148.000us      49.333us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.00%     110.000us         4.00%     110.000us      27.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.22%       6.000us         0.22%       6.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         1.02%      28.000us         2.62%      72.000us      72.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.25%       7.000us         0.25%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.00 Kb      24.00 Kb             1  
autograd::engine::evaluate_function: torch::autograd...         0.22%       6.000us         1.56%      43.000us      43.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      24.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.22%       6.000us         1.34%      37.000us      37.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      24.00 Kb           0 b             1  
                                aten::new_empty_strided         0.15%       4.000us         0.51%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.00 Kb           0 b             1  
                                    aten::empty_strided         0.36%      10.000us         0.36%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.00 Kb      24.00 Kb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -48.00 Kb     -48.00 Kb             2  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.751ms
Self CUDA time total: 16.000us

{'item_0': [79, 256], 'item_1': 256, 'item_2': 1, 'time_cost': '0.002938508987426758'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.76%      22.000us         1.72%      50.000us      16.667us     112.000us        57.73%     112.000us      37.333us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     108.000us        55.67%     108.000us     108.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.03%      30.000us         1.58%      46.000us      46.000us      69.000us        35.57%      69.000us      69.000us           0 b           0 b      39.50 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us        35.57%      69.000us      69.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.06%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                aten::repeat_interleave         6.91%     201.000us       114.65%       3.333ms       1.667ms       3.000us         1.55%     102.000us      51.000us           0 b           0 b      40.00 Mb    -517.50 Kb             2  
                                              aten::all         0.89%      26.000us         1.10%      32.000us      32.000us       3.000us         1.55%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         1.55%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         1.55%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.86%      54.000us         4.71%     137.000us     137.000us       2.000us         1.03%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.28%       8.000us         3.34%      97.000us      48.500us       2.000us         1.03%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.03%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.72%      21.000us         1.00%      29.000us      29.000us       2.000us         1.03%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.03%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.45%      13.000us        68.77%       1.999ms       1.999ms       1.000us         0.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.64%     135.000us         4.64%     135.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     516.50 Kb     516.50 Kb             5  
                                       cudaLaunchKernel        70.21%       2.041ms        70.21%       2.041ms     226.778us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.41%      12.000us         0.58%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.48%      14.000us         0.48%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.03%       1.000us         0.03%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.76%      22.000us         5.16%     150.000us      75.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         1.51%      44.000us         4.40%     128.000us      64.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         1.20%      35.000us         1.72%      50.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.38%      11.000us         0.41%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.69%      20.000us         4.02%     117.000us      58.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.23%      94.000us         3.23%      94.000us      31.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.24%       7.000us         0.24%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      39.50 Mb      39.50 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.17%       5.000us         1.34%      39.000us      39.000us       0.000us         0.00%     108.000us     108.000us           0 b           0 b      39.50 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.21%       6.000us         1.17%      34.000us      34.000us       0.000us         0.00%     108.000us     108.000us           0 b           0 b      39.50 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.41%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      39.50 Mb           0 b             1  
                                    aten::empty_strided         0.31%       9.000us         0.31%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      39.50 Mb      39.50 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -79.00 Mb     -79.00 Mb             2  
                                  cudaDeviceSynchronize         2.13%      62.000us         2.13%      62.000us      62.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.907ms
Self CUDA time total: 194.000us

{'item_0': [43, 176], 'item_1': 176, 'item_2': 1, 'time_cost': '0.0029821395874023438'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.80%      23.000us         1.87%      54.000us      18.000us      36.000us        50.70%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us        45.07%      32.000us      32.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.07%      31.000us         1.63%      47.000us      47.000us      23.000us        32.39%      23.000us      23.000us           0 b           0 b      10.16 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us        32.39%      23.000us      23.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         5.63%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         1.18%      34.000us         1.42%      41.000us      41.000us       3.000us         4.23%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         4.23%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.02%     203.000us       117.20%       3.387ms       1.694ms       2.000us         2.82%      54.000us      27.000us           0 b           0 b      10.40 Mb    -246.50 Kb             2  
                                           aten::cumsum         1.87%      54.000us         4.43%     128.000us     128.000us       2.000us         2.82%       4.000us       4.000us           0 b           0 b       1.50 Kb           0 b             1  
                              aten::_local_scalar_dense         0.28%       8.000us         3.74%     108.000us      54.000us       2.000us         2.82%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.82%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.73%      21.000us         0.97%      28.000us      28.000us       2.000us         2.82%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.82%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.82%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.48%      14.000us        69.86%       2.019ms       2.019ms       1.000us         1.41%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.41%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.41%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.41%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.53%     131.000us         4.53%     131.000us      26.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     245.50 Kb     245.50 Kb             5  
                                       cudaLaunchKernel        71.25%       2.059ms        71.25%       2.059ms     228.778us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.45%      13.000us         0.59%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.48%      14.000us         0.52%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.76%      22.000us         4.95%     143.000us      71.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         1.49%      43.000us         4.19%     121.000us      60.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         1.04%      30.000us         1.52%      44.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.42%      12.000us         0.45%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.76%      22.000us         4.50%     130.000us      65.000us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.77%     109.000us         3.77%     109.000us      36.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.24%       7.000us         0.24%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.16 Mb      10.16 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.14%       4.000us         1.49%      43.000us      43.000us       0.000us         0.00%      32.000us      32.000us           0 b           0 b      10.16 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.21%       6.000us         1.35%      39.000us      39.000us       0.000us         0.00%      32.000us      32.000us           0 b           0 b      10.16 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.45%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.16 Mb           0 b             1  
                                    aten::empty_strided         0.35%      10.000us         0.35%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.16 Mb      10.16 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -20.32 Mb     -20.32 Mb             2  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.890ms
Self CUDA time total: 71.000us

{'item_0': [29, 96], 'item_1': 96, 'item_2': 1, 'time_cost': '0.0029366016387939453'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.77%      22.000us         1.79%      51.000us      17.000us       8.000us        30.77%       8.000us       2.667us           0 b           0 b           0 b           0 b             3  
                                     aten::index_select         1.05%      30.000us         1.62%      46.000us      46.000us       7.000us        26.92%       7.000us       7.000us           0 b           0 b       2.04 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        26.92%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        19.23%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                              aten::all         0.88%      25.000us         1.12%      32.000us      32.000us       4.000us        15.38%       4.000us       4.000us           0 b           0 b         512 b         512 b             1  
