{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0527992248535156'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::reshape         0.71%      22.000us         0.96%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.26%       8.000us         0.26%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.64%      20.000us         0.68%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.06%       2.000us         0.06%       2.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.06%       2.000us         0.06%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.77%      24.000us         0.80%      25.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.99%      62.000us         7.14%     222.000us      74.000us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.37%     136.000us         4.37%     136.000us      45.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.26%       8.000us         0.26%       8.000us       2.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         1.61%      50.000us         3.54%     110.000us     110.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.32%      10.000us         0.32%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.00 Kb      24.00 Kb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -24.00 Kb     -24.00 Kb             1  
                                  cudaDeviceSynchronize         0.23%       7.000us         0.23%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.111ms
Self CUDA time total: 15.000us

{'item_0': [79, 256], 'item_1': 256, 'item_2': 1, 'time_cost': '0.0030078887939453125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.04%      31.000us         1.60%      48.000us      48.000us      70.000us        81.40%      70.000us      70.000us           0 b           0 b      39.50 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      70.000us        81.40%      70.000us      70.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.63%      19.000us         1.24%      37.000us      18.500us       4.000us         4.65%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.65%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.84%      25.000us         1.10%      33.000us      33.000us       3.000us         3.49%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         3.49%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         6.91%     207.000us       117.84%       3.528ms       1.764ms       2.000us         2.33%     101.000us      50.500us           0 b           0 b      40.00 Mb    -517.50 Kb             2  
                                           aten::cumsum         1.80%      54.000us         4.31%     129.000us     129.000us       2.000us         2.33%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.30%       9.000us         4.28%     128.000us      64.000us       2.000us         2.33%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.33%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.67%      20.000us         0.97%      29.000us      29.000us       2.000us         2.33%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.33%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.33%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.43%      13.000us        67.87%       2.032ms       2.032ms       1.000us         1.16%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.16%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.16%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.16%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         7.48%     224.000us         7.48%     224.000us      44.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     516.50 Kb     516.50 Kb             5  
                                       cudaLaunchKernel        69.41%       2.078ms        69.41%       2.078ms     230.889us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.43%      13.000us         0.57%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.43%      13.000us         0.47%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.67%      20.000us         4.88%     146.000us      73.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         1.54%      46.000us         4.21%     126.000us      63.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.94%      28.000us         1.44%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.40%      12.000us         0.40%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.73%      22.000us         5.01%     150.000us      75.000us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.81%     114.000us         3.81%     114.000us      57.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.23%       7.000us         0.23%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      39.50 Mb      39.50 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -39.50 Mb     -39.50 Mb             1  
                                  cudaDeviceSynchronize         0.90%      27.000us         0.90%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.994ms
Self CUDA time total: 86.000us

{'item_0': [43, 176], 'item_1': 176, 'item_2': 1, 'time_cost': '0.002840280532836914'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.14%      32.000us         1.68%      47.000us      47.000us      23.000us        58.97%      23.000us      23.000us           0 b           0 b      10.48 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us        58.97%      23.000us      23.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.57%      16.000us         1.21%      34.000us      17.000us       4.000us        10.26%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        10.26%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         1.21%      34.000us         1.46%      41.000us      41.000us       3.000us         7.69%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         7.69%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.31%     205.000us       118.84%       3.331ms       1.665ms       2.000us         5.13%      54.000us      27.000us           0 b           0 b      10.71 Mb    -246.50 Kb             2  
                                           aten::cumsum         2.00%      56.000us         4.64%     130.000us     130.000us       2.000us         5.13%       4.000us       4.000us           0 b           0 b       1.50 Kb           0 b             1  
                              aten::_local_scalar_dense         0.29%       8.000us         3.39%      95.000us      47.500us       2.000us         5.13%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         5.13%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.71%      20.000us         1.00%      28.000us      28.000us       2.000us         5.13%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         5.13%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         5.13%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.46%      13.000us        70.75%       1.983ms       1.983ms       1.000us         2.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         2.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.89%     137.000us         4.89%     137.000us      27.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     245.50 Kb     245.50 Kb             5  
                                       cudaLaunchKernel        72.24%       2.025ms        72.24%       2.025ms     225.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.43%      12.000us         0.61%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.50%      14.000us         0.50%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.68%      19.000us         5.10%     143.000us      71.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         1.68%      47.000us         4.42%     124.000us      62.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         1.00%      28.000us         1.53%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.39%      11.000us         0.43%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.75%      21.000us         4.14%     116.000us      58.000us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         2.93%      82.000us         2.93%      82.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.21%       6.000us         0.21%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.48 Mb      10.48 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -10.48 Mb     -10.48 Mb             1  
                                  cudaDeviceSynchronize         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.803ms
Self CUDA time total: 39.000us

{'item_0': [29, 96], 'item_1': 96, 'item_2': 1, 'time_cost': '0.002838134765625'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.11%      31.000us         1.64%      46.000us      46.000us       7.000us        30.43%       7.000us       7.000us           0 b           0 b       2.04 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        30.43%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.61%      17.000us         1.25%      35.000us      17.500us       4.000us        17.39%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        17.39%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.93%      26.000us         1.18%      33.000us      33.000us       4.000us        17.39%       4.000us       4.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        17.39%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         2.00%      56.000us         4.93%     138.000us     138.000us       2.000us         8.70%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.36%      10.000us         3.71%     104.000us      52.000us       2.000us         8.70%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.70%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.71%      20.000us         1.00%      28.000us      28.000us       2.000us         8.70%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.70%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.36%     206.000us       119.07%       3.334ms       1.667ms       1.000us         4.35%      38.000us      19.000us           0 b           0 b       2.11 Mb     -75.50 Kb             2  
                                            aten::fill_         0.46%      13.000us        70.75%       1.981ms       1.981ms       1.000us         4.35%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.35%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.35%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.35%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.35%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.61%     129.000us         4.61%     129.000us      25.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      74.50 Kb      74.50 Kb             5  
                                       cudaLaunchKernel        72.29%       2.024ms        72.29%       2.024ms     224.889us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.46%      13.000us         0.61%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.46%      13.000us         0.50%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.68%      19.000us         5.32%     149.000us      74.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::clone         1.86%      52.000us         4.64%     130.000us      65.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       2.00 Kb           0 b             2  
                                       aten::empty_like         1.00%      28.000us         1.54%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.43%      12.000us         0.46%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.71%      20.000us         4.43%     124.000us      62.000us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.18%      89.000us         3.18%      89.000us      44.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.21%       6.000us         0.21%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.04 Mb       2.04 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.04 Mb      -2.04 Mb             1  
                                  cudaDeviceSynchronize         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.800ms
Self CUDA time total: 23.000us

{'item_0': [23, 80], 'item_1': 80, 'item_2': 1, 'time_cost': '0.003193378448486328'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.30%      41.000us         1.84%      58.000us      58.000us       5.000us        26.32%       5.000us       5.000us           0 b           0 b       1.12 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        26.32%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.51%      16.000us         1.11%      35.000us      17.500us       3.000us        15.79%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        15.79%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.86%      27.000us         1.11%      35.000us      35.000us       3.000us        15.79%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        15.79%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.81%      57.000us         4.22%     133.000us     133.000us       2.000us        10.53%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.29%       9.000us         4.98%     157.000us      78.500us       2.000us        10.53%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        10.53%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.67%      21.000us         0.92%      29.000us      29.000us       2.000us        10.53%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        10.53%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         6.66%     210.000us       118.75%       3.743ms       1.871ms       1.000us         5.26%      32.000us      16.000us           0 b           0 b       1.17 Mb     -53.50 Kb             2  
                                            aten::fill_         0.48%      15.000us        68.40%       2.156ms       2.156ms       1.000us         5.26%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.26%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.26%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.26%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.26%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         7.36%     232.000us         7.36%     232.000us      46.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      52.50 Kb      52.50 Kb             5  
                                       cudaLaunchKernel        69.83%       2.201ms        69.83%       2.201ms     244.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.41%      13.000us         0.60%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.19%       6.000us         0.19%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.44%      14.000us         0.48%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.06%       2.000us         0.06%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.63%      20.000us         4.63%     146.000us      73.000us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::clone         1.46%      46.000us         4.00%     126.000us      63.000us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
