{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::upsample_bilinear2d_backward         0.06%     156.000us         0.11%     257.000us     257.000us     228.489ms        94.79%     228.501ms     228.501ms           0 b           0 b     300.00 Kb     300.00 Kb             1  
                              aten::upsample_bilinear2d         0.10%     242.000us         0.10%     242.000us     242.000us       6.262ms         2.60%       6.262ms       6.262ms           0 b           0 b     300.00 Mb     300.00 Mb             1  
                                            aten::fill_         0.05%     112.000us         0.05%     112.000us      56.000us       4.338ms         1.80%       4.338ms       2.169ms           0 b           0 b           0 b           0 b             2  
                                            aten::copy_        98.94%     238.320ms        98.94%     238.320ms     119.160ms     490.000us         0.20%     490.000us     245.000us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy         0.13%     302.000us        99.11%     238.734ms     119.367ms     284.000us         0.12%     831.000us     415.500us     900.00 Kb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         0.11%     275.000us        99.40%     239.434ms     119.717ms     257.000us         0.11%       1.487ms     743.500us     600.00 Kb    -300.00 Kb    -300.00 Kb    -300.00 Kb             2  
                                        ToCopyBackward0         0.10%     230.000us        99.29%     239.159ms     119.579ms     218.000us         0.09%       1.230ms     615.000us     900.00 Kb           0 b           0 b           0 b             2  
                                             aten::add_         0.09%     219.000us         0.09%     219.000us     219.000us     204.000us         0.08%     204.000us     204.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         0.08%     195.000us        99.19%     238.929ms     119.465ms     181.000us         0.08%       1.012ms     506.000us     900.00 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         0.07%     167.000us         0.16%     386.000us     386.000us     170.000us         0.07%     374.000us     374.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.03%      81.000us         0.19%     467.000us     467.000us      76.000us         0.03%     450.000us     450.000us    -600.00 Kb    -600.00 Kb           0 b           0 b             1  
                                    aten::empty_strided         0.05%     112.000us         0.05%     112.000us      56.000us      58.000us         0.02%      58.000us      29.000us     600.00 Kb     600.00 Kb     300.00 Mb     300.00 Mb             2  
                                        aten::ones_like         0.06%     139.000us         0.13%     321.000us     321.000us       3.000us         0.00%       4.333ms       4.333ms           0 b           0 b     300.00 Mb           0 b             1  
                            UpsampleBilinear2DBackward1         0.02%      57.000us         0.13%     314.000us     314.000us       3.000us         0.00%     228.504ms     228.504ms           0 b           0 b     300.00 Kb           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.02%      48.000us         0.15%     362.000us     362.000us       2.000us         0.00%     228.506ms     228.506ms           0 b           0 b     300.00 Kb           0 b             1  
                                            aten::zero_         0.02%      56.000us         0.04%     101.000us     101.000us       2.000us         0.00%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         0.03%      73.000us         0.05%     115.000us     115.000us       1.000us         0.00%       2.000us       2.000us           0 b           0 b     300.00 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.01%      29.000us         0.02%      43.000us      43.000us       1.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.01%      14.000us         0.01%      14.000us      14.000us       1.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.02%      42.000us         0.02%      42.000us      42.000us       0.000us         0.00%       0.000us       0.000us     300.00 Kb     300.00 Kb           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -600.00 Mb    -600.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 240.869ms
Self CUDA time total: 241.040ms

{'item_0': [1.0, 1.0, 480.0, 547.0], 'item_1': [15.0, 18.0], 'item_2': [False], 'item_3': ['None'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0037322044372558594'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        21.21%     632.000us        21.21%     632.000us     316.000us     607.000us        21.06%     607.000us     303.500us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy        11.07%     330.000us        39.87%       1.188ms     594.000us     429.000us        14.89%       1.172ms     586.000us       3.00 Mb           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         9.66%     288.000us         9.66%     288.000us     288.000us     338.000us        11.73%     338.000us     338.000us           0 b           0 b       1.50 Kb       1.50 Kb             1  
                                             aten::add_        11.34%     338.000us        11.34%     338.000us     338.000us     328.000us        11.38%     328.000us     328.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         8.99%     268.000us         8.99%     268.000us      89.333us     169.000us         5.86%     169.000us      56.333us       3.00 Mb       3.00 Mb       1.50 Kb       1.50 Kb             3  
autograd::engine::evaluate_function: ToCopyBackward0...         5.47%     163.000us        53.32%       1.589ms     794.500us     155.000us         5.38%       1.564ms     782.000us       2.00 Mb      -1.00 Mb      -1.01 Mb      -1.01 Mb             2  
                                        ToCopyBackward0         4.46%     133.000us        47.85%       1.426ms     713.000us     134.000us         4.65%       1.409ms     704.500us       3.00 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         5.74%     171.000us         5.74%     171.000us     171.000us     107.000us         3.71%     107.000us     107.000us           0 b           0 b       1.01 Mb       1.01 Mb             1  
                                               aten::to         3.52%     105.000us        43.39%       1.293ms     646.500us     103.000us         3.57%       1.275ms     637.500us       3.00 Mb           0 b           0 b           0 b             2  
                             UpsampleNearest2DBackward1         2.08%      62.000us         7.82%     233.000us     233.000us      93.000us         3.23%     200.000us     200.000us           0 b           0 b       1.01 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         2.85%      85.000us        14.19%     423.000us     423.000us      87.000us         3.02%     415.000us     415.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.79%      83.000us        16.98%     506.000us     506.000us      80.000us         2.78%     495.000us     495.000us      -2.00 Mb      -2.00 Mb           0 b           0 b             1  
                                        aten::ones_like         3.72%     111.000us         9.26%     276.000us     276.000us      70.000us         2.43%     190.000us     190.000us           0 b           0 b       1.50 Kb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.51%      45.000us         9.33%     278.000us     278.000us      60.000us         2.08%     260.000us     260.000us           0 b           0 b       1.01 Mb           0 b             1  
                                       aten::empty_like         2.42%      72.000us         3.83%     114.000us     114.000us      44.000us         1.53%      77.000us      77.000us           0 b           0 b       1.50 Kb           0 b             1  
                                            aten::fill_         1.71%      51.000us         1.71%      51.000us      51.000us      43.000us         1.49%      43.000us      43.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.01%      30.000us         1.44%      43.000us      43.000us      29.000us         1.01%      35.000us      35.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.44%      13.000us         0.44%      13.000us      13.000us       6.000us         0.21%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.00 Kb      -3.00 Kb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.980ms
Self CUDA time total: 2.882ms

{'item_0': [1.0, 256.0, 304.0, 200.0], 'item_1': [False], 'item_2': [0.5], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.058429718017578125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        62.10%      35.640ms        62.10%      35.640ms      17.820ms      33.209ms        57.68%      33.209ms      16.605ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_        32.50%      18.654ms        32.50%      18.654ms      18.654ms      18.638ms        32.37%      18.638ms      18.638ms           0 b           0 b           0 b           0 b             1  
                     aten::upsample_bilinear2d_backward         0.23%     130.000us         0.37%     212.000us     212.000us       1.640ms         2.85%       2.599ms       2.599ms           0 b           0 b      59.38 Mb      59.38 Mb             1  
                                            aten::fill_         0.21%     119.000us         0.21%     119.000us      59.500us       1.188ms         2.06%       1.188ms     594.000us           0 b           0 b           0 b           0 b             2  
                              aten::upsample_bilinear2d         0.53%     303.000us         0.53%     303.000us     303.000us       1.020ms         1.77%       1.020ms       1.020ms           0 b           0 b      14.84 Mb      14.84 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.99%     568.000us        33.74%      19.362ms      19.362ms     563.000us         0.98%      19.346ms      19.346ms    -118.75 Mb    -118.75 Mb           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         0.98%     562.000us        64.52%      37.033ms      18.517ms     539.000us         0.94%      34.371ms      17.186ms     118.75 Mb     -59.38 Mb     -59.38 Mb     -59.38 Mb             2  
                                         aten::_to_copy         0.46%     266.000us        62.96%      36.135ms      18.067ms     247.000us         0.43%      33.556ms      16.778ms     178.12 Mb           0 b           0 b           0 b             2  
                                        ToCopyBackward0         0.34%     197.000us        63.54%      36.471ms      18.235ms     158.000us         0.27%      33.832ms      16.916ms     178.12 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         0.24%     140.000us        32.75%      18.794ms      18.794ms     145.000us         0.25%      18.783ms      18.783ms           0 b           0 b           0 b           0 b             1  
                                               aten::to         0.24%     139.000us        63.20%      36.274ms      18.137ms     118.000us         0.20%      33.674ms      16.837ms     178.12 Mb           0 b           0 b           0 b             2  
                                    aten::empty_strided         0.28%     162.000us         0.28%     162.000us      81.000us     101.000us         0.18%     101.000us      50.500us     118.75 Mb     118.75 Mb      14.84 Mb      14.84 Mb             2  
autograd::engine::evaluate_function: UpsampleBilinea...         0.08%      46.000us         0.52%     296.000us     296.000us       3.000us         0.01%       2.604ms       2.604ms           0 b           0 b      59.38 Mb           0 b             1  
                            UpsampleBilinear2DBackward1         0.07%      38.000us         0.44%     250.000us     250.000us       2.000us         0.00%       2.601ms       2.601ms           0 b           0 b      59.38 Mb           0 b             1  
                                        aten::ones_like         0.21%     118.000us         0.57%     328.000us     328.000us       1.000us         0.00%     233.000us     233.000us           0 b           0 b      14.84 Mb           0 b             1  
                                       aten::empty_like         0.16%      91.000us         0.25%     143.000us     143.000us       1.000us         0.00%       2.000us       2.000us           0 b           0 b      14.84 Mb           0 b             1  
                                            aten::zero_         0.05%      30.000us         0.14%      82.000us      82.000us       1.000us         0.00%     959.000us     959.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.10%      59.000us         0.13%      72.000us      72.000us       1.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.02%      13.000us         0.02%      13.000us      13.000us       1.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.21%     119.000us         0.21%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us      59.38 Mb      59.38 Mb           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -29.69 Mb     -29.69 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 57.394ms
Self CUDA time total: 57.576ms

{'item_0': [1.0, 256.0, 50.0, 76.0], 'item_1': [100.0, 152.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.006709098815917969'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        38.50%       2.261ms        38.50%       2.261ms       1.131ms       2.232ms        36.93%       2.232ms       1.116ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_        19.89%       1.168ms        19.89%       1.168ms       1.168ms       1.153ms        19.08%       1.153ms       1.153ms           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         4.34%     255.000us         4.34%     255.000us     255.000us     653.000us        10.80%     653.000us     653.000us           0 b           0 b      14.84 Mb      14.84 Mb             1  
                                         aten::_to_copy         6.45%     379.000us        47.05%       2.763ms       1.381ms     389.000us         6.44%       2.720ms       1.360ms      11.13 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         5.81%     341.000us        59.60%       3.500ms       1.750ms     314.000us         5.20%       3.402ms       1.701ms       7.42 Mb      -3.71 Mb      -3.71 Mb      -3.71 Mb             2  
                      aten::upsample_nearest2d_backward         2.78%     163.000us         2.78%     163.000us     163.000us     309.000us         5.11%     309.000us     309.000us           0 b           0 b       3.71 Mb       3.71 Mb             1  
                                            aten::fill_         1.48%      87.000us         1.48%      87.000us      87.000us     230.000us         3.81%     230.000us     230.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         4.09%     240.000us        53.80%       3.159ms       1.579ms     228.000us         3.77%       3.088ms       1.544ms      11.13 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         2.32%     136.000us        22.21%       1.304ms       1.304ms     142.000us         2.35%       1.295ms       1.295ms           0 b           0 b           0 b           0 b             1  
                                               aten::to         2.66%     156.000us        49.71%       2.919ms       1.460ms     140.000us         2.32%       2.860ms       1.430ms      11.13 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         1.91%     112.000us        24.11%       1.416ms       1.416ms     110.000us         1.82%       1.405ms       1.405ms      -7.42 Mb      -7.42 Mb           0 b           0 b             1  
                                    aten::empty_strided         2.91%     171.000us         2.91%     171.000us      57.000us     100.000us         1.65%     100.000us      33.333us      11.13 Mb      11.13 Mb      14.84 Mb      14.84 Mb             3  
                             UpsampleNearest2DBackward1         1.06%      62.000us         3.83%     225.000us     225.000us      38.000us         0.63%     347.000us     347.000us           0 b           0 b       3.71 Mb           0 b             1  
                                        aten::ones_like         2.57%     151.000us         6.15%     361.000us     361.000us       2.000us         0.03%     234.000us     234.000us           0 b           0 b      14.84 Mb           0 b             1  
                                       aten::empty_like         1.28%      75.000us         2.09%     123.000us     123.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b      14.84 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.78%      46.000us         4.62%     271.000us     271.000us       1.000us         0.02%     348.000us     348.000us           0 b           0 b       3.71 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.51%      30.000us         1.18%      69.000us      69.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.66%      39.000us         0.66%      39.000us      39.000us       1.000us         0.02%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -29.69 Mb     -29.69 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.872ms
Self CUDA time total: 6.044ms

{'item_0': [1.0, 256.0, 24.0, 42.0], 'item_1': [48.0, 84.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0035555362701416016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        25.74%     700.000us        25.74%     700.000us     350.000us     682.000us        25.23%     682.000us     341.000us           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         9.34%     254.000us         9.34%     254.000us     254.000us     397.000us        14.69%     397.000us     397.000us           0 b           0 b       3.94 Mb       3.94 Mb             1  
                                             aten::add_        13.90%     378.000us        13.90%     378.000us     378.000us     368.000us        13.61%     368.000us     368.000us           0 b           0 b           0 b           0 b             1  
                                         aten::_to_copy         8.01%     218.000us        36.99%       1.006ms     503.000us     236.000us         8.73%     990.000us     495.000us       2.95 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         5.15%     140.000us        49.85%       1.356ms     678.000us     134.000us         4.96%       1.335ms     667.500us       1.97 Mb   -1008.00 Kb   -1008.00 Kb   -1008.00 Kb             2  
                      aten::upsample_nearest2d_backward         4.78%     130.000us         4.78%     130.000us     130.000us     130.000us         4.81%     130.000us     130.000us           0 b           0 b    1008.00 Kb    1008.00 Kb             1  
                                               aten::to         4.12%     112.000us        41.10%       1.118ms     559.000us     113.000us         4.18%       1.103ms     551.500us       2.95 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         3.90%     106.000us        21.03%     572.000us     572.000us     105.000us         3.88%     562.000us     562.000us      -1.97 Mb      -1.97 Mb           0 b           0 b             1  
                                            aten::fill_         2.10%      57.000us         2.10%      57.000us      57.000us     101.000us         3.74%     101.000us     101.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         3.60%      98.000us        44.71%       1.216ms     608.000us      98.000us         3.63%       1.201ms     600.500us       2.95 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         3.24%      88.000us        17.13%     466.000us     466.000us      89.000us         3.29%     457.000us     457.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         4.93%     134.000us         4.93%     134.000us      44.667us      73.000us         2.70%      73.000us      24.333us       2.95 Mb       2.95 Mb       3.94 Mb       3.94 Mb             3  
                                        aten::ones_like         4.23%     115.000us        10.74%     292.000us     292.000us      59.000us         2.18%     169.000us     169.000us           0 b           0 b       3.94 Mb           0 b             1  
                             UpsampleNearest2DBackward1         1.18%      32.000us         5.96%     162.000us     162.000us      58.000us         2.15%     188.000us     188.000us           0 b           0 b    1008.00 Kb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.03%      28.000us         1.54%      42.000us      42.000us      27.000us         1.00%      34.000us      34.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.54%      42.000us         7.50%     204.000us     204.000us      18.000us         0.67%     206.000us     206.000us           0 b           0 b    1008.00 Kb           0 b             1  
                                       aten::empty_like         2.72%      74.000us         4.41%     120.000us     120.000us       8.000us         0.30%       9.000us       9.000us           0 b           0 b       3.94 Mb           0 b             1  
                                         CloneBackward0         0.51%      14.000us         0.51%      14.000us      14.000us       7.000us         0.26%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -7.88 Mb      -7.88 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.720ms
Self CUDA time total: 2.703ms

{'item_0': [2.0, 512.0, 1.0, 1.0], 'item_1': [16.0, 16.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.004164934158325195'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::upsample_bilinear2d_backward         5.01%     170.000us         7.96%     270.000us     270.000us       1.017ms        30.26%       1.024ms       1.024ms           0 b           0 b       4.00 Kb       4.00 Kb             1  
autograd::engine::evaluate_function: UpsampleBilinea...         1.47%      50.000us        11.15%     378.000us     378.000us     951.000us        28.30%       1.978ms       1.978ms           0 b           0 b       4.00 Kb           0 b             1  
                              aten::upsample_bilinear2d         8.23%     279.000us         8.23%     279.000us     279.000us     445.000us        13.24%     445.000us     445.000us           0 b           0 b       1.00 Mb       1.00 Mb             1  
                                            aten::copy_        47.40%       1.607ms        47.40%       1.607ms     803.500us     183.000us         5.44%     183.000us      91.500us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy         5.37%     182.000us        55.22%       1.872ms     936.000us     151.000us         4.49%     365.000us     182.500us      12.00 Kb           0 b           0 b           0 b             2  
                                               aten::to         3.51%     119.000us        58.73%       1.991ms     995.500us     108.000us         3.21%     473.000us     236.500us      12.00 Kb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         3.10%     105.000us        64.51%       2.187ms       1.093ms      90.000us         2.68%     638.000us     319.000us       8.00 Kb      -4.00 Kb      -4.00 Kb      -4.00 Kb             2  
                                            aten::fill_         4.69%     159.000us         4.69%     159.000us      79.500us      89.000us         2.65%      89.000us      44.500us           0 b           0 b           0 b           0 b             2  
                                        ToCopyBackward0         2.68%      91.000us        61.42%       2.082ms       1.041ms      75.000us         2.23%     548.000us     274.000us      12.00 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         2.15%      73.000us         4.04%     137.000us     137.000us      73.000us         2.17%     129.000us     129.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         1.89%      64.000us         1.89%      64.000us      64.000us      56.000us         1.67%      56.000us      56.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         3.60%     122.000us         9.71%     329.000us     329.000us      47.000us         1.40%     132.000us     132.000us           0 b           0 b       1.00 Mb           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.12%      38.000us         5.16%     175.000us     175.000us      37.000us         1.10%     166.000us     166.000us      -8.00 Kb      -8.00 Kb           0 b           0 b             1  
                                    aten::empty_strided         3.75%     127.000us         3.75%     127.000us      42.333us      32.000us         0.95%      32.000us      10.667us      12.00 Kb      12.00 Kb       1.00 Mb       1.00 Mb             3  
                            UpsampleBilinear2DBackward1         1.71%      58.000us         9.68%     328.000us     328.000us       3.000us         0.09%       1.027ms       1.027ms           0 b           0 b       4.00 Kb           0 b             1  
                                       aten::empty_like         2.15%      73.000us         3.45%     117.000us     117.000us       1.000us         0.03%       2.000us       2.000us           0 b           0 b       1.00 Mb           0 b             1  
                                            aten::zero_         0.91%      31.000us         2.95%     100.000us     100.000us       1.000us         0.03%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.83%      28.000us         1.24%      42.000us      42.000us       1.000us         0.03%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.41%      14.000us         0.41%      14.000us      14.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.00 Mb      -2.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.390ms
Self CUDA time total: 3.361ms

{'item_0': [1.0, 256.0, 26.0, 25.0], 'item_1': [52.0, 50.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0032231807708740234'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        21.60%     544.000us        21.60%     544.000us     272.000us     524.000us        21.22%     524.000us     262.000us           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         8.78%     221.000us         8.78%     221.000us     221.000us     358.000us        14.50%     358.000us     358.000us           0 b           0 b       2.54 Mb       2.54 Mb             1  
                                         aten::_to_copy        12.59%     317.000us        39.12%     985.000us     492.500us     351.000us        14.22%     966.000us     483.000us       1.90 Mb           0 b           0 b           0 b             2  
                                             aten::add_         9.13%     230.000us         9.13%     230.000us     230.000us     220.000us         8.91%     220.000us     220.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         5.64%     142.000us        56.47%       1.422ms     711.000us     155.000us         6.28%       1.398ms     699.000us       1.27 Mb    -650.00 Kb    -650.00 Kb    -650.00 Kb             2  
                                               aten::to         5.96%     150.000us        45.08%       1.135ms     567.500us     151.000us         6.12%       1.117ms     558.500us       1.90 Mb           0 b           0 b           0 b             2  
                                        ToCopyBackward0         5.76%     145.000us        50.83%       1.280ms     640.000us     126.000us         5.10%       1.243ms     621.500us       1.90 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         4.45%     112.000us         4.45%     112.000us     112.000us     104.000us         4.21%     104.000us     104.000us           0 b           0 b     650.00 Kb     650.00 Kb             1  
                                    aten::empty_strided         6.63%     167.000us         6.63%     167.000us      55.667us      92.000us         3.73%      92.000us      30.667us       1.90 Mb       1.90 Mb       2.54 Mb       2.54 Mb             3  
                        torch::autograd::AccumulateGrad         3.18%      80.000us        12.31%     310.000us     310.000us      81.000us         3.28%     301.000us     301.000us           0 b           0 b           0 b           0 b             1  
