{'item_0': [128, 256], 'time_cost': '0.0017590522766113281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize         0.89%       5.000us         0.89%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 561.000us
Self CUDA time total: 10.000us

{'item_0': [6, 2], 'time_cost': '0.0006399154663085938'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.69%       9.000us         3.56%      19.000us      19.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.88%      10.000us        50.28%     268.000us     268.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.94%      21.000us         7.50%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.00%      16.000us         3.56%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.56%       3.000us         0.56%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.63%      30.000us        79.17%     422.000us     422.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.56%      19.000us        23.26%     124.000us     124.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        19.70%     105.000us        19.70%     105.000us     105.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        50.28%     268.000us        50.28%     268.000us     134.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.50%       8.000us         5.44%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.75%       4.000us         3.94%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         3.19%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         2.06%      11.000us         2.25%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.94%       5.000us         1.13%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.31%       7.000us         5.82%      31.000us      31.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.94%       5.000us         4.50%      24.000us      24.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 533.000us
Self CUDA time total: 5.000us

{'item_0': [1, 128], 'time_cost': '0.0006394386291503906'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.50%       8.000us         3.19%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.69%       9.000us        51.22%     273.000us     273.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.75%      20.000us         7.32%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.19%      17.000us         3.56%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.82%      31.000us        80.30%     428.000us     428.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.75%      20.000us        23.26%     124.000us     124.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        19.51%     104.000us        19.51%     104.000us     104.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        51.22%     273.000us        51.22%     273.000us     136.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.31%       7.000us         5.07%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.56%       3.000us         3.75%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         3.19%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.88%      10.000us         2.25%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.75%       4.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.13%       6.000us         5.44%      29.000us      29.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         1.13%       6.000us         4.32%      23.000us      23.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 533.000us
Self CUDA time total: 5.000us

{'item_0': [128, 64], 'time_cost': '0.0006375312805175781'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.50%       8.000us         3.18%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.87%      10.000us        51.69%     276.000us     276.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.75%      20.000us         7.30%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.18%      17.000us         3.56%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.62%      30.000us        80.15%     428.000us     428.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      32.00 Kb           0 b             1  
                                       aten::empty_like         3.00%      16.000us        22.85%     122.000us     122.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb           0 b             1  
                                    aten::empty_strided        19.85%     106.000us        19.85%     106.000us     106.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb      32.00 Kb             1  
                                       cudaLaunchKernel        51.50%     275.000us        51.50%     275.000us     137.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.31%       7.000us         5.06%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.75%       4.000us         3.75%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         3.00%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.87%      10.000us         2.06%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.94%       5.000us         1.12%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.31%       7.000us         5.43%      29.000us      29.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.94%       5.000us         4.12%      22.000us      22.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -32.00 Kb     -32.00 Kb             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 534.000us
Self CUDA time total: 5.000us

{'item_0': [10, 256], 'time_cost': '0.0006320476531982422'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.33%       7.000us         3.04%      16.000us      16.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.90%      10.000us        50.66%     267.000us     267.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.80%      20.000us         7.40%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.23%      17.000us         3.61%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.50%      29.000us        80.27%     423.000us     423.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      10.00 Kb           0 b             1  
                                       aten::empty_like         3.04%      16.000us        24.10%     127.000us     127.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.00 Kb           0 b             1  
                                    aten::empty_strided        21.06%     111.000us        21.06%     111.000us     111.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.00 Kb      10.00 Kb             1  
                                       cudaLaunchKernel        50.47%     266.000us        50.47%     266.000us     133.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.52%       8.000us         5.12%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.57%       3.000us         3.61%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.95%       5.000us         3.04%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.90%      10.000us         2.09%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.95%       5.000us         1.14%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.14%       6.000us         5.12%      27.000us      27.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.95%       5.000us         3.98%      21.000us      21.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -10.00 Kb     -10.00 Kb             1  
                                  cudaDeviceSynchronize         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 527.000us
Self CUDA time total: 5.000us

{'item_0': [1152, 128], 'time_cost': '0.0006394386291503906'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.69%       9.000us         3.56%      19.000us      19.000us       4.000us        57.14%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        57.14%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.69%       9.000us        50.37%     269.000us     269.000us       3.000us        42.86%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        42.86%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.93%      21.000us         7.49%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.18%      17.000us         3.56%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.62%      30.000us        79.21%     423.000us     423.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     576.00 Kb           0 b             1  
                                       aten::empty_like         3.75%      20.000us        23.22%     124.000us     124.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     576.00 Kb           0 b             1  
                                    aten::empty_strided        19.48%     104.000us        19.48%     104.000us     104.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     576.00 Kb     576.00 Kb             1  
                                       cudaLaunchKernel        50.56%     270.000us        50.56%     270.000us     135.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.87%      10.000us         5.62%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.56%       3.000us         3.75%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         3.18%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         2.06%      11.000us         2.25%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.75%       4.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.31%       7.000us         5.81%      31.000us      31.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.94%       5.000us         4.49%      24.000us      24.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -576.00 Kb    -576.00 Kb             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 534.000us
Self CUDA time total: 7.000us

{'item_0': [16, 128], 'time_cost': '0.0006442070007324219'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.68%       9.000us         3.54%      19.000us      19.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.87%      10.000us        50.56%     271.000us     271.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.73%      20.000us         7.28%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.17%      17.000us         3.54%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         6.16%      33.000us        79.85%     428.000us     428.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       8.00 Kb           0 b             1  
                                       aten::empty_like         4.10%      22.000us        23.13%     124.000us     124.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb           0 b             1  
                                    aten::empty_strided        19.03%     102.000us        19.03%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                       cudaLaunchKernel        50.56%     271.000us        50.56%     271.000us     135.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.49%       8.000us         5.41%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.75%       4.000us         3.92%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.93%       5.000us         3.17%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         2.05%      11.000us         2.24%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.75%       4.000us         0.93%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.31%       7.000us         5.60%      30.000us      30.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.75%       4.000us         4.29%      23.000us      23.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.00 Kb      -8.00 Kb             1  
                                  cudaDeviceSynchronize         0.93%       5.000us         0.93%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 536.000us
Self CUDA time total: 5.000us

{'item_0': [42, 2], 'time_cost': '0.0006339550018310547'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.51%       8.000us         3.40%      18.000us      18.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.70%       9.000us        49.43%     262.000us     262.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.15%      22.000us         7.55%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.02%      16.000us         3.40%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.47%      29.000us        79.43%     421.000us     421.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.96%      21.000us        24.53%     130.000us     130.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        20.57%     109.000us        20.57%     109.000us     109.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
