{'item_0': [43, 25601], 'item_1': [1], 'time_cost': '1.9643006324768066'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::ones_like         0.84%      30.000us         2.98%     106.000us     106.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.53%      19.000us         1.15%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         1.35%      48.000us         1.35%      48.000us      16.000us       0.000us         0.00%       0.000us       0.000us      11.70 Mb      11.70 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.68%      24.000us         0.99%      35.000us      35.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.73%      26.000us         5.15%     183.000us     183.000us       0.000us         0.00%      37.000us      37.000us           0 b           0 b       3.90 Mb      -7.80 Mb             1            --  
                                        aten::unsqueeze         0.59%      21.000us         0.70%      25.000us      12.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.42%      15.000us        43.69%       1.552ms     776.000us       0.000us         0.00%     622.000us     311.000us      11.70 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         1.30%      46.000us        43.27%       1.537ms     768.500us       0.000us         0.00%     622.000us     311.000us      11.70 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        20.10%     714.000us        20.10%     714.000us     714.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.11%       4.000us         0.11%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.25%       9.000us        18.36%     652.000us     652.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -11.70 Mb     -11.70 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.552ms
Self CUDA time total: 703.000us

{'item_0': [23, 6401], 'item_1': [1], 'time_cost': '0.002256631851196289'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        12.18%     250.000us        21.20%     435.000us     217.500us      89.000us        60.14%      89.000us      44.500us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      89.000us        60.14%      89.000us      89.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         3.41%      70.000us        11.84%     243.000us     121.500us      23.000us        15.54%      46.000us      23.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us        15.54%      23.000us      23.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         1.71%      35.000us         3.80%      78.000us      78.000us      16.000us        10.81%      16.000us      16.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us        10.81%      16.000us      16.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sub         3.07%      63.000us         6.43%     132.000us      66.000us       6.000us         4.05%       6.000us       3.000us           0 b           0 b       1.12 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         4.05%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::exp         2.53%      52.000us         4.97%     102.000us      51.000us       3.000us         2.03%       3.000us       1.500us           0 b           0 b       1.12 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         2.03%       3.000us       1.500us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         1.90%      39.000us         3.07%      63.000us      63.000us       3.000us         2.03%       3.000us       3.000us           0 b           0 b     575.50 Kb           0 b             1         7.667  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         2.03%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         2.73%      56.000us         8.33%     171.000us      85.500us       2.000us         1.35%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.35%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         3.27%      67.000us        11.50%     236.000us     118.000us       2.000us         1.35%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.35%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         1.02%      21.000us         1.51%      31.000us      31.000us       2.000us         1.35%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.35%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         1.71%      35.000us         2.24%      46.000us      46.000us       1.000us         0.68%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.68%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::fill_         1.17%      24.000us         1.71%      35.000us      35.000us       1.000us         0.68%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.68%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp        13.35%     274.000us        51.56%       1.058ms       1.058ms       0.000us         0.00%      51.000us      51.000us           0 b           0 b         512 b      -1.13 Mb             1            --  
                                            aten::empty         6.73%     138.000us         6.73%     138.000us      15.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.81 Mb       2.81 Mb             9            --  
                                          aten::resize_         3.80%      78.000us         3.80%      78.000us      19.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         9.16%     188.000us         9.16%     188.000us      14.462us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         1.12%      23.000us         1.85%      38.000us      38.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         1.75%      36.000us         1.75%      36.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.78%      16.000us         1.41%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.63%      13.000us         0.63%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         1.07%      22.000us         2.58%      53.000us      53.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_         6.73%     138.000us         7.12%     146.000us      73.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         1.80%      37.000us         5.46%     112.000us     112.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.88%      18.000us         1.95%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         2.44%      50.000us         2.44%      50.000us      16.667us       0.000us         0.00%       0.000us       0.000us       1.68 Mb       1.68 Mb         512 b         512 b             3            --  
                                      LogsumexpBackward         1.71%      35.000us        11.70%     240.000us     240.000us       0.000us         0.00%       7.000us       7.000us           0 b           0 b     575.50 Kb      -1.12 Mb             1            --  
                                        aten::unsqueeze         1.07%      22.000us         1.46%      30.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.10%       2.000us         0.10%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.68%      14.000us        25.44%     522.000us     261.000us       0.000us         0.00%      89.000us      44.500us       1.68 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         2.19%      45.000us        24.76%     508.000us     254.000us       0.000us         0.00%      89.000us      44.500us       1.68 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync         8.77%     180.000us         8.77%     180.000us     180.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.24%       5.000us         0.24%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.29%       6.000us         5.75%     118.000us     118.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -1.68 Mb      -1.68 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.052ms
Self CUDA time total: 148.000us

{'item_0': [79, 65537], 'item_1': [1], 'time_cost': '0.017560243606567383'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        39.70%       6.045ms        61.36%       9.343ms       4.671ms       3.159ms        86.95%       3.159ms       1.579ms           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.159ms        86.95%       3.159ms       3.159ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.33%      50.000us         0.66%     100.000us      50.000us     153.000us         4.21%     153.000us      76.500us           0 b           0 b      40.00 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     153.000us         4.21%     153.000us      76.500us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         0.40%      61.000us         0.83%     126.000us      63.000us     146.000us         4.02%     146.000us      73.000us           0 b           0 b      40.00 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     146.000us         4.02%     146.000us      73.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.23%      35.000us         0.39%      59.000us      59.000us      79.000us         2.17%      79.000us      79.000us           0 b           0 b      19.75 Mb           0 b             1         1.000  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      79.000us         2.17%      79.000us      79.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         0.35%      54.000us         1.16%     176.000us      88.000us      45.000us         1.24%      90.000us      45.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         1.24%      45.000us      45.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.23%      35.000us         0.50%      76.000us      76.000us      45.000us         1.24%      45.000us      45.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         1.24%      45.000us      45.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         0.34%      52.000us         1.04%     159.000us      79.500us       1.000us         0.03%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.40%      61.000us         1.44%     219.000us     109.500us       1.000us         0.03%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.20%      30.000us         0.26%      40.000us      40.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.16%      25.000us         0.26%      40.000us      40.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        29.78%       4.534ms        29.84%       4.544ms       2.272ms       1.000us         0.03%       1.000us       0.500us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::fill_         0.15%      23.000us         0.22%      34.000us      34.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         1.36%     207.000us         6.13%     933.000us     933.000us       0.000us         0.00%     244.000us     244.000us           0 b           0 b         512 b     -40.00 Mb             1            --  
                                            aten::empty         0.89%     136.000us         0.89%     136.000us      15.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      99.75 Mb      99.75 Mb             9            --  
                                          aten::resize_         0.47%      72.000us         0.47%      72.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         1.11%     169.000us         1.11%     169.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.14%      21.000us         0.23%      35.000us      35.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.22%      34.000us         0.22%      34.000us       8.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.09%      14.000us         0.18%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.09%      13.000us         0.09%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.15%      23.000us         0.41%      63.000us      63.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.20%      31.000us         0.68%     104.000us     104.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.11%      17.000us         0.26%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.39%      59.000us         0.39%      59.000us      19.667us       0.000us         0.00%       0.000us       0.000us      59.25 Mb      59.25 Mb         512 b         512 b             3            --  
                                      LogsumexpBackward         0.19%      29.000us         1.49%     227.000us     227.000us       0.000us         0.00%     229.000us     229.000us           0 b           0 b      19.75 Mb     -40.00 Mb             1            --  
                                        aten::unsqueeze         0.15%      23.000us         0.19%      29.000us      14.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.01%       1.000us         0.01%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.09%      14.000us        61.99%       9.439ms       4.720ms       0.000us         0.00%       3.159ms       1.579ms      59.25 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         0.30%      45.000us        61.90%       9.425ms       4.713ms       0.000us         0.00%       3.159ms       1.579ms      59.25 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        21.63%       3.294ms        21.63%       3.294ms       3.294ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.03%       4.000us         0.03%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.11%      16.000us        29.70%       4.523ms       4.523ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -59.25 Mb     -59.25 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.227ms
Self CUDA time total: 3.633ms

{'item_0': [48, 36865], 'item_1': [1], 'time_cost': '0.005906343460083008'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        23.98%       1.349ms        44.64%       2.511ms       1.256ms       1.079ms        87.02%       1.079ms     539.500us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        87.02%       1.079ms       1.079ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.80%      45.000us         1.58%      89.000us      44.500us      54.000us         4.35%      54.000us      27.000us           0 b           0 b      13.50 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.000us         4.35%      54.000us      27.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         0.98%      55.000us         2.06%     116.000us      58.000us      46.000us         3.71%      46.000us      23.000us           0 b           0 b      14.50 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      46.000us         3.71%      46.000us      23.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.50%      28.000us         0.92%      52.000us      52.000us      26.000us         2.10%      26.000us      26.000us           0 b           0 b       6.75 Mb           0 b             1         1.846  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         2.10%      26.000us      26.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         1.28%      72.000us         4.32%     243.000us     121.500us      16.000us         1.29%      32.000us      16.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         1.29%      16.000us      16.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.64%      36.000us         1.39%      78.000us      78.000us      14.000us         1.13%      14.000us      14.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         1.13%      14.000us      14.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         1.03%      58.000us         3.04%     171.000us      85.500us       2.000us         0.16%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.16%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         1.21%      68.000us         4.18%     235.000us     117.500us       1.000us         0.08%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        28.48%       1.602ms        28.62%       1.610ms     805.000us       1.000us         0.08%       1.000us       0.500us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::fill_         0.41%      23.000us         0.62%      35.000us      35.000us       1.000us         0.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.08%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         4.98%     280.000us        18.97%       1.067ms       1.067ms       0.000us         0.00%      84.000us      84.000us           0 b           0 b         512 b     -14.00 Mb             1            --  
                                            aten::empty         2.44%     137.000us         2.44%     137.000us      15.222us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      34.75 Mb      34.75 Mb             9            --  
                                          aten::resize_         1.37%      77.000us         1.37%      77.000us      19.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         3.04%     171.000us         3.04%     171.000us      13.154us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.41%      23.000us         0.69%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.60%      34.000us         0.60%      34.000us       8.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.30%      17.000us         0.52%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.21%      12.000us         0.21%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.62%      35.000us         0.82%      46.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.37%      21.000us         0.94%      53.000us      53.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.39%      22.000us         0.57%      32.000us      32.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.59%      33.000us         1.90%     107.000us     107.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.32%      18.000us         0.69%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         1.37%      77.000us         1.37%      77.000us      25.667us       0.000us         0.00%       0.000us       0.000us      20.25 Mb      20.25 Mb         512 b         512 b             3            --  
                                      LogsumexpBackward         0.44%      25.000us         3.24%     182.000us     182.000us       0.000us         0.00%      76.000us      76.000us           0 b           0 b       6.75 Mb     -14.00 Mb             1            --  
                                        aten::unsqueeze         0.32%      18.000us         0.41%      23.000us      11.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.02%       1.000us         0.02%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.37%      21.000us        47.59%       2.677ms       1.339ms       0.000us         0.00%       1.079ms     539.500us      20.25 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         1.58%      89.000us        47.22%       2.656ms       1.328ms       0.000us         0.00%       1.079ms     539.500us      20.25 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        20.59%       1.158ms        20.59%       1.158ms       1.158ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.07%       4.000us         0.07%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.28%      16.000us        28.28%       1.591ms       1.591ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -20.25 Mb     -20.25 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.625ms
Self CUDA time total: 1.240ms

