{'item_0': 18, 'item_1': 18, 'time_cost': '6.706372499465942'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.39%       9.000us         1.26%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.66%      84.000us       187.76%       4.311ms       2.155ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      32.00 Kb           0 b             2  
                                            aten::empty         4.57%     105.000us         4.57%     105.000us     105.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.39%       9.000us         0.39%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.00 Kb      16.00 Kb             1  
                                            aten::zero_         0.57%      13.000us        87.37%       2.006ms       2.006ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.67%       1.990ms        86.67%       1.990ms     995.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.52%      12.000us         3.05%      70.000us      70.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      16.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.53%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      16.00 Kb           0 b             1  
                                aten::new_empty_strided         0.17%       4.000us         0.83%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.00 Kb           0 b             1  
                                    aten::empty_strided         0.65%      15.000us         0.65%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.00 Kb      16.00 Kb             1  
                                        cudaMemcpyAsync         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -32.00 Kb     -32.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.296ms
Self CUDA time total: 3.000us

{'item_0': 3, 'item_1': 3, 'time_cost': '0.002414703369140625'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.35%       1.975ms     987.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.44%      10.000us         1.33%      30.000us      30.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.63%      82.000us       187.57%       4.241ms       2.120ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         4.51%     102.000us         4.51%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.62%      14.000us        87.31%       1.974ms       1.974ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.55%       1.957ms        86.55%       1.957ms     978.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.57%      13.000us         3.18%      72.000us      72.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.61%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.261ms
Self CUDA time total: 3.000us

{'item_0': 27, 'item_1': 27, 'time_cost': '0.0024442672729492188'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.74%      17.000us        88.10%       2.013ms       1.006ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.35%       8.000us         1.23%      28.000us      28.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.63%      83.000us       188.53%       4.308ms       2.154ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       6.00 Kb           0 b             2  
                                            aten::empty         3.89%      89.000us         3.89%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.39%       9.000us         0.39%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb       3.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        88.10%       2.013ms       2.013ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.35%       1.996ms        87.35%       1.996ms     998.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.48%      11.000us         3.02%      69.000us      69.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.48%      11.000us         2.54%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.00 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.83%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb       3.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -6.00 Kb      -6.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.285ms
Self CUDA time total: 3.000us

{'item_0': 30, 'item_1': 30, 'time_cost': '0.0024089813232421875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        88.00%       1.987ms     993.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.28%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.72%      84.000us       188.44%       4.255ms       2.127ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       8.00 Kb           0 b             2  
                                            aten::empty         3.85%      87.000us         3.85%      87.000us      87.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb       4.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.95%       1.986ms       1.986ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.20%       1.969ms        87.20%       1.969ms     984.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.49%      11.000us         3.06%      69.000us      69.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       4.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.40%       9.000us         2.57%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       4.00 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb       4.00 Kb             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.00 Kb      -8.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.258ms
Self CUDA time total: 3.000us

{'item_0': 46, 'item_1': 46, 'time_cost': '0.0024399757385253906'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.79%      18.000us        88.03%       2.008ms       1.004ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.39%       9.000us         1.27%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.64%      83.000us       188.34%       4.296ms       2.148ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      17.00 Kb           0 b             2  
                                            aten::empty         3.86%      88.000us         3.86%      88.000us      88.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.39%       9.000us         0.39%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.50 Kb       8.50 Kb             1  
                                            aten::zero_         0.66%      15.000us        88.03%       2.008ms       2.008ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.24%       1.990ms        87.24%       1.990ms     995.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.11%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.48%      11.000us         2.59%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.50 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.83%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.50 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.50 Kb       8.50 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -17.00 Kb     -17.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.281ms
Self CUDA time total: 3.000us

{'item_0': 5, 'item_1': 5, 'time_cost': '0.002402067184448242'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.76%      17.000us        87.85%       1.974ms     987.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.65%      82.000us       188.12%       4.227ms       2.114ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         3.96%      89.000us         3.96%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.67%      15.000us        87.85%       1.974ms       1.974ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.09%       1.957ms        87.09%       1.957ms     978.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.16%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      11.000us         2.63%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.62%      14.000us         0.62%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.247ms
Self CUDA time total: 3.000us

{'item_0': 36, 'item_1': 36, 'time_cost': '0.002424955368041992'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.79%      18.000us        87.79%       1.992ms     996.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.28%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.83%      87.000us       188.14%       4.269ms       2.135ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      11.00 Kb           0 b             2  
                                            aten::empty         3.97%      90.000us         3.97%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.50 Kb       5.50 Kb             1  
                                            aten::zero_         0.62%      14.000us        87.75%       1.991ms       1.991ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.00%       1.974ms        87.00%       1.974ms     987.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.48%      11.000us         3.13%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       5.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.48%      11.000us         2.64%      60.000us      60.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       5.50 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.50 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.50 Kb       5.50 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -11.00 Kb     -11.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.269ms
Self CUDA time total: 3.000us

{'item_0': 43, 'item_1': 43, 'time_cost': '0.002404928207397461'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.87%       1.977ms     988.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.69%      83.000us       188.22%       4.235ms       2.118ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      15.00 Kb           0 b             2  
                                            aten::empty         4.00%      90.000us         4.00%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.50 Kb       7.50 Kb             1  
                                            aten::zero_         0.62%      14.000us        87.82%       1.976ms       1.976ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.07%       1.959ms        87.07%       1.959ms     979.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.49%      11.000us         3.11%      70.000us      70.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       7.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.62%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       7.50 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.50 Kb           0 b             1  
